State,Vehicle thefts
ALABAMA,2684.0
ARIZONA,207.0
ARKANSAS,1714.0
CALIFORNIA,2033.0
COLORADO,1131.0
DELAWARE,25.0
FLORIDA,1599.0
GEORGIA,3812.0
HAWAII,5.0
IDAHO,3002.0
ILLINOIS,1625.0
INDIANA,4551.0
IOWA,2178.0
KANSAS,3308.0
KENTUCKY,3418.0
LOUISIANA,3656.0
MAINE,224.0
MARYLAND,6821.0
MICHIGAN,3751.0
MINNESOTA,2558.0
MISSISSIPPI,364.0
MISSOURI,5030.0
MONTANA,1662.0
NEBRASKA,1306.0
NEVADA,3864.0
NEW HAMPSHIRE,19.0
NEW JERSEY,564.0
NEW MEXICO,1256.0
NEW YORK,1695.0
NORTH CAROLINA,4905.0
NORTH DAKOTA,1903.0
OHIO,2420.0
OKLAHOMA,5132.0
OREGON,1167.0
PENNSYLVANIA,2643.0
SOUTH CAROLINA,1420.0
SOUTH DAKOTA,4806.0
TENNESSEE,3460.0
TEXAS,12985.0
UTAH,567.0
VERMONT,212.0
VIRGINIA,2286.0
WASHINGTON,968.0
WEST VIRGINIA,813.0
WISCONSIN,1187.0
WYOMING,678.0
